http://www.w3.org/ns/prov#wasDerivedFrom,http://purl.org/dc/elements/1.1/format,CL,ORDER,FAMILY,S,N_DET,N_UND,N_TY,N_2T,SPEC,LO_NO,TRAN,DATE,OPEN
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,ORTHOPTERA,ACRIDIDAE,P,0,-1,0,0,0,2018012,RTRN,Tue Sep 04 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,ORTHOPTERA,TETTIGONIIDAE,P,0,-2,0,0,0,2018012,RTRN,Tue Sep 04 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,PHASMATODEA,PHASMATIDAE,P,0,-2,0,0,0,2018012,RTRN,Tue Sep 04 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HYMENOPTERA,MUTILLIDAE,P,7,0,7,0,7,2018014,LOAN,Wed Sep 12 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,LEPIDOPTERA,PAPILIONIDAE,P,3,0,0,0,1,2018015,LOAN,Thu Sep 20 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,LEPIDOPTERA,PAPILIONIDAE,P,-3,0,0,0,-1,2018015,RTRN,Wed Sep 26 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,LEPIDOPTERA,NYMPHALIDAE,P,1,0,0,0,1,2018015,LOAN,Mon Oct 01 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,LEPIDOPTERA,URANIIDAE,P,4,1,0,0,3,2018015,LOAN,Mon Oct 01 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,AR,PHALANGIDA,?PHALANGIDA,S,0,-2,0,0,0,2015003,RTRN,Tue Oct 23 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,NEUROPTERA,MYRMELEONTIDAE,P,-1,-5,0,0,-1,2018003,RTRN,Fri Nov 02 00:00:00 CDT 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,DIPTERA,CULICIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,DIPTERA,TACHINIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLEOPTERA,CERAMBYCIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLEOPTERA,CHRYSOMELIDAE,P,4,0,0,0,2,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLEOPTERA,COCCINELLIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLEOPTERA,SCARABAEIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HEMIPTERA,ANTHOCORIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HYMENOPTERA,APIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HYMENOPTERA,SPHECIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,LEPIDOPTERA,NYMPHALIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,NEUROPTERA,CHRYSOPIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,ODONATA,AESHNIDAE,P,2,0,0,0,1,2018016,LOAN,Mon Nov 19 00:00:00 CST 2018,true
